0.0           0.0           0.000
R              998          0.040          40            1.2           250 
R              921          0.040          30            1.2           300 
R              999          0.040          8             3.3           300 
R              1000         0.040          18            4.3           250 
R              1001         0.040          14            3.7           250 
R              1002         0.040          14            3.7           250 
R              1003         0.040          14            3.7           250 
R              926          0.040          24            3.2           250 
R              927          0.040          24            3.2           250 
R              928          0.040          24            3.2           250 
0.0           0.0           0.000
R              633          0.040          5             2             250 
R              706          0.040          5             2             250 
R              705          0.040          5             2             250 
R              779          0.040          5             2             250 
0.0           0.0           0.000
R              777          0.040          5             2             250 
R              778          0.040          5             2             250 
0.0           0.0           0.000
R              1554         0.040          30            2.4           250 
R              1553         0.040          41            2.1           300 
R              1449         0.040          36            1.7           353.5 
R              1346         0.040          28            1.4           353.5 
R              1249         0.040          30            1.6           301.78 
R              1248         0.040          32            1.8           301.78 
R              1159         0.040          41            1.9           301.78 
R              1158         0.040          30            1.7           300 
R              1072         0.040          28            2.6           250 
R              989          0.040          28            2.4           250 
R              912          0.040          30            2.8           250 
R              836          0.040          36            2.6           250 
R              837          0.040          26            2.4           300 
R              763          0.040          30            2.4           300 
R              689          0.040          32            2.8           250 
R              616          0.040          26            2.4           300 
R              543          0.040          30            2             300 
R              474          0.040          28            2             300 
R              409          0.040          28            1.2           300 
R              353          0.040          25            4.8           300 
R              298          0.040          25            5             300 
R              246          0.040          20            4.4           250 
R              245          0.040          20            11            250 
R              195          0.040          10            2.8           250 
R              148          0.040          32            5.3           300 
R              105          0.040          30            3.8           300 
0.0           0.0           0.000
R              302          0.040          5             2             250 
R              357          0.040          5             2             353.5 
R              414          0.040          9             1.9           353.5 
R              479          0.040          5             2.4           301.78 
R              548          0.040          5             3.8           301.78 
R              621          0.040          11            3             301.78 
R              694          0.040          12            3.2           250 
R              768          0.040          11            3.6           250 
R              843          0.040          18            3.4           250 
R              844          0.040          18            3             250 
0.0           0.0           0.000
R              306          0.040          5             2             250 
R              305          0.040          5             2             250 
R              359          0.040          5             2             250 
R              358          0.040          5             2             250 
0.0           0.0           0.000
R              552          0.040          5             3.1           250 
R              551          0.040          5             2.6           250 
R              550          0.040          5             2.6           250 
R              549          0.040          7             4.1           250 
0.0           0.0           0.000
R              1257         0.040          15            3.4           250 
R              1169         0.040          12            1.9           250 
R              1083         0.040          7             1.5           250 
0.0           0.0           0.000
R              842          0.040          5             2             250 
R              841          0.040          5             2             250 
R              840          0.040          5             2             250 
R              839          0.040          5             2             250 
R              838          0.040          5             2             250 
0.0           0.0           0.000
R              833          0.040          4             2             250 
R              834          0.040          4             2             250 
R              835          0.040          5             2             250 
0.0           0.0           0.000
R              408          0.040          14            3             250 
R              407          0.040          14            3             250 
R              471          0.040          14            3             250 
R              470          0.040          14            3             250 
R              469          0.040          12            2.5           250 
R              468          0.040          12            2.5           250 
R              404          0.040          12            2.5           300 
R              347          0.040          15            3             300 
R              293          0.040          16            2             250 
R              292          0.040          16            2.5           250 
R              291          0.040          16            3.2           250 
R              239          0.040          20            4             250 
R              238          0.040          28            2.8           300 
R              187          0.040          20            3             300 
0.0           0.0           0.000
R              604          0.040          12            2.5           300 
R              532          0.040          12            2.2           250 
R              463          0.040          10            1.8           250 
R              399          0.040          12            2.2           300 
R              344          0.040          8             4.2           300 
R              290          0.040          12            3             250 
0.0           0.0           0.000
R              566          0.040          5             2             250 
R              497          0.040          5             2             250 
0.0           0.0           0.000
N              8672         0.040          250           1 
N              8616         0.040          301.78        1 
N              8615         0.040          250           1 
N              8554         0.040          250           1 
N              8487         0.040          250           2 
N              8417         0.040          250           2 
N              8345         0.040          301.78        2 
N              8268         0.040          301.78        4 
N              8191         0.040          250           4 
N              8112         0.040          250           4 
